Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
173,4.1728,0.1728,4.0000,4.0222,0.0222
428,3.8182,0.1818,4.0000,3.9737,0.0263
475,3.8840,0.1160,4.0000,4.0678,0.0678
64,4.4452,0.4452,4.0000,4.1287,0.1287
32,3.7901,0.2099,4.0000,3.8277,0.1723
58,3.6457,0.3543,4.0000,3.8026,0.1974
180,4.0452,0.0452,4.0000,4.2027,0.2027
154,3.7471,0.2529,4.0000,3.7628,0.2372
89,4.1382,0.1382,4.0000,3.7569,0.2431
171,3.8769,0.1231,4.0000,3.6738,0.3262
12,4.3858,0.3858,4.0000,4.3594,0.3594
160,3.4638,0.5362,4.0000,3.5929,0.4071
169,4.4661,0.4661,4.0000,4.5073,0.5073
127,4.2833,0.7167,5.0000,4.3901,0.6099
222,3.6603,0.6603,3.0000,3.6145,0.6145
22,4.1515,0.1515,4.0000,3.3804,0.6196
196,3.9163,0.9163,3.0000,3.6495,0.6495
156,3.9865,1.0135,5.0000,4.2433,0.7567
187,4.1866,0.8134,5.0000,4.1405,0.8595
11,3.8475,0.8475,3.0000,3.8849,0.8849
474,4.2526,0.7474,5.0000,4.0680,0.9320
47,3.6015,0.6015,3.0000,3.9736,0.9736
427,4.2922,1.2922,3.0000,4.0487,1.0487
100,4.1555,0.8445,5.0000,3.9269,1.0731
175,3.8173,1.1827,5.0000,3.8780,1.1220
357,4.2917,0.7083,5.0000,3.8719,1.1281
137,3.9006,1.0994,5.0000,3.8062,1.1938
192,4.1207,0.8793,5.0000,3.7374,1.2626
186,3.8367,1.1633,5.0000,3.6153,1.3847
258,3.8035,1.1965,5.0000,3.6010,1.3990
174,4.2524,2.2524,2.0000,4.0317,2.0317
96,4.0068,2.0068,2.0000,4.2592,2.2592
501,3.4959,2.4959,1.0000,3.9737,2.9737
Average:,3.9921,0.7581,3.9697,3.9325,0.8083
Variance:,0.0731,0.3673,1.0303,0.0682,0.4551
