Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
28,3.9312,0.0688,4.0000,3.9652,0.0348
672,2.7231,0.2769,3.0000,3.1347,0.1347
424,1.3158,1.6842,3.0000,3.1729,0.1729
411,2.9141,0.0859,3.0000,3.2264,0.2264
1032,2.8750,1.1250,4.0000,3.7365,0.2635
105,2.5676,0.4324,3.0000,3.3987,0.3987
67,3.0485,0.9515,4.0000,3.5985,0.4015
395,2.5893,0.4107,3.0000,3.4912,0.4912
328,3.4237,0.5763,4.0000,3.4732,0.5268
401,2.8026,0.1974,3.0000,3.5296,0.5296
243,2.4394,0.5606,3.0000,3.5315,0.5315
780,3.0000,1.0000,4.0000,3.4414,0.5586
419,3.7247,1.2753,5.0000,4.3940,0.6060
404,3.6733,1.3267,5.0000,4.3815,0.6185
1036,2.7500,1.2500,4.0000,3.3639,0.6361
418,3.5814,1.4186,5.0000,4.3590,0.6410
423,3.8333,1.1667,5.0000,4.3169,0.6831
259,2.6852,0.3148,3.0000,3.6954,0.6954
588,3.7921,1.2079,5.0000,4.3012,0.6988
465,3.5647,1.4353,5.0000,4.2912,0.7088
420,3.6667,1.3333,5.0000,4.2534,0.7466
216,3.9103,1.0897,5.0000,4.1893,0.8107
501,3.4959,1.5041,5.0000,4.1883,0.8117
410,3.1296,0.1296,3.0000,3.8152,0.8152
389,3.4444,1.5556,5.0000,4.1647,0.8353
144,3.8724,1.1276,5.0000,4.1454,0.8546
200,3.8252,1.1748,5.0000,4.1325,0.8675
1037,2.0000,2.0000,4.0000,3.1314,0.8686
218,3.4561,0.4561,3.0000,3.8865,0.8865
153,3.7854,1.2146,5.0000,4.1060,0.8940
234,3.7750,1.2250,5.0000,4.0991,0.9009
433,3.6901,1.3099,5.0000,4.0777,0.9223
1,3.8783,1.1217,5.0000,4.0691,0.9309
22,4.1515,0.8485,5.0000,4.0568,0.9432
95,3.8128,1.1872,5.0000,4.0419,0.9581
71,3.7818,1.2182,5.0000,4.0291,0.9709
616,3.4219,0.4219,3.0000,3.9755,0.9755
318,4.4664,1.4664,3.0000,3.9808,0.9808
99,3.7093,1.2907,5.0000,3.9989,1.0011
79,4.0446,1.0446,3.0000,4.0124,1.0124
162,3.5566,1.4434,5.0000,3.9535,1.0465
451,3.3471,1.6529,5.0000,3.9470,1.0530
69,3.8536,1.1464,5.0000,3.9330,1.0670
313,4.2457,0.7543,5.0000,3.9269,1.0731
392,3.5441,1.4559,5.0000,3.9164,1.0836
97,3.7930,1.2070,5.0000,3.9078,1.0922
161,3.4818,1.5182,5.0000,3.9036,1.0964
288,3.4414,1.5586,5.0000,3.8767,1.1233
70,3.6614,1.3386,5.0000,3.8531,1.1469
225,2.9083,2.0917,5.0000,3.8441,1.1559
88,3.5399,1.4601,5.0000,3.8027,1.1973
768,3.0769,1.9231,5.0000,3.7991,1.2009
140,3.2131,1.7869,5.0000,3.7928,1.2072
94,3.0876,1.9124,5.0000,3.7406,1.2594
384,2.7826,2.2174,5.0000,3.7304,1.2696
1033,2.7813,2.2188,5.0000,3.7075,1.2925
393,3.4115,1.5885,5.0000,3.6920,1.3080
452,2.6667,2.3333,5.0000,3.6877,1.3123
294,3.1567,1.8433,5.0000,3.6869,1.3131
405,3.3140,1.6860,5.0000,3.6682,1.3318
118,3.2150,1.7850,5.0000,3.6677,1.3323
409,3.1429,1.8571,5.0000,3.6575,1.3425
155,3.1020,1.8980,5.0000,3.6505,1.3495
402,3.4647,1.5353,5.0000,3.6441,1.3559
742,3.6442,1.3558,5.0000,3.6412,1.3588
838,2.7500,0.7500,2.0000,3.3639,1.3639
1016,3.4599,1.5401,5.0000,3.5840,1.4160
1031,2.2857,2.7143,5.0000,3.5538,1.4462
252,2.9430,2.0570,5.0000,3.5445,1.4555
406,2.4490,0.4490,2.0000,3.4881,1.4881
326,3.3600,1.6400,5.0000,3.5048,1.4952
1035,3.1618,1.8382,5.0000,3.4916,1.5084
78,2.4545,2.5455,5.0000,3.4776,1.5224
112,2.4500,2.5500,5.0000,3.4757,1.5243
1014,3.0612,1.9388,5.0000,3.4604,1.5396
679,3.0467,1.9533,5.0000,3.4559,1.5441
1028,3.0405,1.9595,5.0000,3.4540,1.5460
720,3.0233,1.9767,5.0000,3.4427,1.5573
673,3.5233,1.4767,5.0000,3.4397,1.5603
447,3.5041,1.4959,5.0000,3.4324,1.5676
139,2.7800,0.7800,2.0000,3.6128,1.6128
678,2.8082,2.1918,5.0000,3.3820,1.6180
383,2.0645,0.0645,2.0000,3.6220,1.6220
35,2.1818,2.8182,5.0000,3.3643,1.6357
627,3.2267,1.7733,5.0000,3.3267,1.6733
681,2.4444,2.5556,5.0000,3.2889,1.7111
