Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
937.0,3.40540540541,1.40540540541,2.0,2.02106160699,0.0210616069938
258.0,3.80353634578,1.80353634578,2.0,1.87308467235,0.126915327654
300.0,3.63109048724,1.63109048724,2.0,2.1502513809,0.150251380897
750.0,3.85483870968,1.85483870968,2.0,2.36312386717,0.363123867175
748.0,3.12341772152,0.123417721519,3.0,2.51128491141,0.488715088586
882.0,3.29411764706,0.705882352941,4.0,3.4235431864,0.5764568136
312.0,3.1625,0.1625,3.0,2.23738737174,0.762612628256
272.0,4.26262626263,1.26262626263,3.0,2.00484916963,0.995150830368
358.0,2.61538461538,1.61538461538,1.0,2.01487896973,1.01487896973
340.0,3.5873015873,0.412698412698,4.0,2.75262587947,1.24737412053
245.0,3.10833333333,0.108333333333,3.0,1.67780948014,1.32219051986
303.0,3.68656716418,2.68656716418,1.0,2.33558670047,1.33558670047
751.0,3.42777777778,0.427777777778,3.0,1.64888508156,1.35111491844
260.0,2.57480314961,1.57480314961,1.0,2.44558488925,1.44558488925
313.0,4.24571428571,2.24571428571,2.0,3.59913791659,1.59913791659
898.0,3.22413793103,1.77586206897,5.0,3.35353683942,1.64646316058
328.0,3.42372881356,2.42372881356,1.0,2.65758960013,1.65758960013
286.0,3.65696465696,0.343035343035,4.0,2.31985185328,1.68014814672
269.0,3.92698412698,0.0730158730159,4.0,2.26821324737,1.73178675263
896.0,3.77272727273,0.227272727273,4.0,2.18143167649,1.81856832351
347.0,3.51094890511,2.51094890511,1.0,2.8275691094,1.8275691094
288.0,3.44142259414,0.558577405858,4.0,2.13742489587,1.86257510413
349.0,2.90322580645,1.09677419355,4.0,1.95965739575,2.04034260425
344.0,3.65454545455,1.34545454545,5.0,2.61545043218,2.38454956782
315.0,4.1,3.1,1.0,3.5174254389,2.5174254389
316.0,4.19642857143,3.19642857143,1.0,3.53553270174,2.53553270174
302.0,4.16161616162,0.838383838384,5.0,2.24966090063,2.75033909937
886.0,3.07547169811,2.07547169811,1.0,3.84799226853,2.84799226853
311.0,3.68,1.32,5.0,1.94170711148,3.05829288852
875.0,2.7358490566,1.7358490566,1.0,4.50617259659,3.50617259659
Average:,3.5082488514,1.35471263547,2.73333333333,2.56594370505,1.55551676471
