Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
169,4.4661,0.4661,4.0000,3.9933,0.0067
475,3.8840,0.1160,4.0000,4.0368,0.0368
100,4.1555,0.8445,5.0000,4.9376,0.0624
64,4.4452,0.4452,4.0000,4.0860,0.0860
160,3.4638,0.5362,4.0000,3.8182,0.1818
89,4.1382,0.1382,4.0000,4.2501,0.2501
428,3.8182,0.1818,4.0000,3.7431,0.2569
58,3.6457,0.3543,4.0000,3.7171,0.2829
180,4.0452,0.0452,4.0000,4.3096,0.3096
12,4.3858,0.3858,4.0000,4.3680,0.3680
173,4.1728,0.1728,4.0000,3.5405,0.4595
171,3.8769,0.1231,4.0000,3.5338,0.4662
154,3.7471,0.2529,4.0000,3.5034,0.4966
222,3.6603,0.6603,3.0000,3.5566,0.5566
22,4.1515,0.1515,4.0000,3.4334,0.5666
192,4.1207,0.8793,5.0000,4.4198,0.5802
32,3.7901,0.2099,4.0000,3.3782,0.6218
127,4.2833,0.7167,5.0000,4.3368,0.6632
474,4.2526,0.7474,5.0000,4.2447,0.7553
47,3.6015,0.6015,3.0000,3.7893,0.7893
11,3.8475,0.8475,3.0000,3.8582,0.8582
137,3.9006,1.0994,5.0000,4.0769,0.9231
196,3.9163,0.9163,3.0000,3.9365,0.9365
187,4.1866,0.8134,5.0000,4.0250,0.9750
427,4.2922,1.2922,3.0000,4.0250,1.0250
175,3.8173,1.1827,5.0000,3.8903,1.1097
156,3.9865,1.0135,5.0000,3.8552,1.1448
357,4.2917,0.7083,5.0000,3.7226,1.2774
258,3.8035,1.1965,5.0000,3.6965,1.3035
186,3.8367,1.1633,5.0000,3.4957,1.5043
174,4.2524,2.2524,2.0000,3.7848,1.7848
96,4.0068,2.0068,2.0000,4.2006,2.2006
501,3.4959,2.4959,1.0000,3.7400,2.7400
Average:,3.9921,0.7581,3.9697,3.9183,0.7751
Variance:,0.0708,0.3561,0.9991,0.1138,0.3775
