Movie ID,Average Rating,Error from Avg,User Rating,Model Prediction,Model Error
174,4.2524,0.7476,5.0000,4.9992,0.0008
133,3.8713,1.1287,5.0000,4.9909,0.0091
172,4.2044,0.7956,5.0000,5.0374,0.0374
625,3.3293,1.6707,5.0000,4.9558,0.0442
421,3.5943,1.4057,5.0000,4.9167,0.0833
298,3.7680,1.2320,5.0000,4.9053,0.0947
676,3.3377,1.6623,5.0000,4.8950,0.1050
207,3.8182,1.1818,5.0000,4.8907,0.1093
121,3.4382,1.5618,5.0000,4.8907,0.1093
143,3.7658,1.2342,5.0000,4.8763,0.1237
234,3.7750,1.2250,5.0000,4.8713,0.1287
197,4.1046,0.8954,5.0000,4.8707,0.1293
633,4.0580,0.9420,5.0000,4.8686,0.1314
15,3.7782,1.2218,5.0000,4.8623,0.1377
588,3.7921,1.2079,5.0000,4.8061,0.1939
288,3.4414,1.5586,5.0000,4.7885,0.2115
118,3.2150,1.7850,5.0000,4.7578,0.2422
928,3.1154,1.8846,5.0000,4.7332,0.2668
27,3.1053,1.8947,5.0000,4.6985,0.3015
38,3.0083,1.9917,5.0000,4.6753,0.3247
568,3.6478,0.3522,4.0000,4.9457,0.9457
427,4.2922,0.2922,4.0000,5.0565,1.0565
406,2.4490,1.5510,4.0000,5.0622,1.0622
Average:,3.6157,1.2792,4.8696,4.8850,0.2543
Variance:,0.1958,0.2050,0.1134,0.0110,0.0956
